species,num,location
Acalypha diversifolia,7,p10
Adelia triloba,27,p10
Alibertia edulis,2,p10
Allophylus psilospermus,1,p10
Alseis blackiana,92,p10
Anacardium excelsum,2,p10
Andira inermis,3,p10
Annona acuminata,45,p10
Annona hayesii,14,p10
Annona spraguei,11,p10
Astrocaryum standleyanum,30,p10
Astronium graveolens,1,p10
Attalea butyracea,3,p10
Bactris major,1,p10
Beilschmiedia pendula,2,p10
Brosimum alicastrum,16,p10
Brosimum guianense,1,p10
Casearia commersoniana,4,p10
Cavanillesia platanifolia,11,p10
Cecropia insignis,1,p10
Celtis schippii,1,p10
Chrysophyllum argenteum,5,p10
Chrysophyllum cainito,3,p10
Cinnamomum triplinerve,5,p10
Clidemia dentata,1,p10
Coccoloba manzinellensis,1,p10
Cordia alliodora,4,p10
Cordia lasiocalyx,4,p10
Coussarea curvigemmia,239,p10
Croton billbergianus,1,p10
Cupania rufescens,3,p10
Cupania seemannii,14,p10
Dendropanax arboreus,2,p10
Desmopsis panamensis,3,p10
Diospyros artanthifolia,1,p10
Dipteryx oleifera,4,p10
Drypetes standleyi,1,p10
Eugenia coloradoensis,23,p10
Eugenia galalonensis,4,p10
Eugenia nesiotica,2,p10
Eugenia oerstediana,13,p10
Faramea occidentalis,276,p10
Garcinia intermedia,39,p10
Garcinia madruno,1,p10
Genipa americana,2,p10
Guapira standleyana,9,p10
Guarea guidonia,4,p10
Guazuma ulmifolia,2,p10
Guettarda foliacea,5,p10
Gustavia superba,11,p10
Heisteria acuminata,1,p10
Heisteria concinna,23,p10
Herrania purpurea,1,p10
Hieronyma alchorneoides,1,p10
Hybanthus prunifolius,54,p10
Inga cocleensis,2,p10
Inga laurina,10,p10
Inga nobilis,3,p10
Inga pauciflora,1,p10
Inga pezizifera,1,p10
Inga sapindoides,8,p10
Inga umbellifera,1,p10
Inga vera,6,p10
Jacaranda copaia,3,p10
Lacistema aggregatum,2,p10
Lacmellea panamensis,2,p10
Laetia thamnia,35,p10
Licania platypus,2,p10
Lindackeria laurina,4,p10
Lonchocarpus heptaphyllus,7,p10
Luehea seemannii,12,p10
Maytenus schippii,3,p10
Miconia argentea,29,p10
Mosannona garwoodii,18,p10
Mouriri myrtilloides,8,p10
Ocotea puberula,1,p10
Ouratea lucens,7,p10
Perebea xanthochyma,2,p10
Picramnia latifolia,3,p10
Piper reticulatum,1,p10
Pittoniotis trichantha,2,p10
Platymiscium pinnatum,3,p10
Platypodium elegans,5,p10
Posoqueria latifolia,6,p10
Pouteria reticulata,12,p10
Pouteria stipitata,2,p10
Protium tenuifolium,8,p10
Pseudobombax septenatum,8,p10
Psidium friedrichsthalianum,1,p10
Psychotria horizontalis,96,p10
Pterocarpus rohrii,10,p10
Quararibea asterolepis,4,p10
Quassia amara,18,p10
Randia armata,6,p10
Rinorea sylvatica,1,p10
Sapium glandulosum,5,p10
Sloanea terniflora,5,p10
Sorocea affinis,5,p10
Spondias radlkoferi,4,p10
Sterculia apetala,4,p10
Stylogyne turbacensis,1,p10
Swartzia simplex,76,p10
Tabebuia guayacan,9,p10
Tabebuia rosea,1,p10
Tachigali versicolor,1,p10
Talisia croatii,1,p10
Tetragastris panamensis,85,p10
Tetrathylacium johansenii,1,p10
Trattinnickia aspera,1,p10
Trema micrantha,2,p10
Trichilia tuberculata,46,p10
Triplaris cumingiana,15,p10
Trophis caucana,3,p10
Trophis racemosa,9,p10
Zanthoxylum panamense,2,p10
Zuelania guidonia,3,p10
Acalypha diversifolia,1,p14
Alchornea latifolia,4,p14
Alibertia edulis,2,p14
Alseis blackiana,61,p14
Amaioua corymbosa,1,p14
Andira inermis,2,p14
Annona acuminata,1,p14
Annona spraguei,8,p14
Apeiba membranacea,1,p14
Apeiba tibourbou,3,p14
Astrocaryum standleyanum,4,p14
Bactris major,1,p14
Brosimum alicastrum,4,p14
Calophyllum longifolium,2,p14
Casearia arborea,4,p14
Casearia sylvestris,2,p14
Cassipourea elliptica,5,p14
Cecropia insignis,8,p14
Celtis schippii,6,p14
Cestrum megalophyllum,1,p14
Chrysophyllum argenteum,4,p14
Chrysophyllum cainito,2,p14
Cinnamomum triplinerve,4,p14
Coccoloba manzinellensis,3,p14
Cordia alliodora,9,p14
Cordia bicolor,14,p14
Cordia lasiocalyx,14,p14
Coussarea curvigemmia,34,p14
Croton billbergianus,18,p14
Cupania rufescens,2,p14
Cupania seemannii,23,p14
Desmopsis panamensis,13,p14
Diospyros artanthifolia,2,p14
Dipteryx oleifera,8,p14
Drypetes standleyi,2,p14
Enterolobium schomburgkii,1,p14
Erythroxylum macrophyllum,2,p14
Eugenia coloradoensis,19,p14
Eugenia galalonensis,9,p14
Eugenia oerstediana,4,p14
Faramea occidentalis,46,p14
Garcinia intermedia,29,p14
Genipa americana,1,p14
Guarea bullata,1,p14
Guarea grandifolia,8,p14
Guarea guidonia,9,p14
Guatteria dumetorum,2,p14
Guettarda foliacea,1,p14
Gustavia superba,2,p14
Hasseltia floribunda,4,p14
Heisteria acuminata,1,p14
Heisteria concinna,23,p14
Hirtella americana,3,p14
Hirtella triandra,11,p14
Hura crepitans,1,p14
Hybanthus prunifolius,79,p14
Inga cocleensis,13,p14
Inga marginata,2,p14
Inga pezizifera,2,p14
Inga thibaudiana,7,p14
Inga umbellifera,1,p14
Jacaranda copaia,13,p14
Lacistema aggregatum,2,p14
Lacmellea panamensis,5,p14
Laetia thamnia,6,p14
Lindackeria laurina,1,p14
Lonchocarpus heptaphyllus,4,p14
Luehea seemannii,2,p14
Macrocnemum roseum,1,p14
Maquira guianensis,16,p14
Maytenus schippii,1,p14
Miconia affinis,2,p14
Miconia argentea,11,p14
Miconia elata,1,p14
Miconia nervosa,1,p14
Mosannona garwoodii,3,p14
Mouriri myrtilloides,31,p14
Myrcia gatunensis,1,p14
Nectandra cissiflora,1,p14
Nectandra purpurea,4,p14
Ocotea oblonga,5,p14
Oenocarpus mapora,333,p14
Ouratea lucens,1,p14
Palicourea guianensis,8,p14
